Material,Plant,Storage Location,Movement Type,Posting Date,Qty in unit of entry,Amount in Local Currency,Material Document,Cost Center,User Name
UAT-0015,P100,0001,201,2025-08-10,-10,-575,4900000294,CC-P100,UAT.PLANNER1
UAT-0015,P100,0001,201,2025-09-10,-10,-575,4900000295,CC-P100,UAT.PLANNER1
UAT-0015,P100,0001,101,2025-09-03,15,862.5,4900000296,,UAT.STORES1
UAT-0015,P100,0001,201,2025-10-10,-10,-575,4900000297,CC-P100,UAT.PLANNER1
UAT-0015,P100,0001,201,2025-11-10,-10,-575,4900000298,CC-P100,UAT.PLANNER1
UAT-0015,P100,0001,101,2025-11-03,15,862.5,4900000299,,UAT.STORES1
UAT-0015,P100,0001,201,2025-12-10,-10,-575,4900000300,CC-P100,UAT.PLANNER1
UAT-0015,P100,0001,201,2026-01-10,-10,-575,4900000301,CC-P100,UAT.PLANNER1
UAT-0015,P100,0001,101,2026-01-03,15,862.5,4900000302,,UAT.STORES1
UAT-0015,P100,0001,201,2026-02-10,-10,-575,4900000303,CC-P100,UAT.PLANNER1
UAT-0015,P100,0001,201,2026-03-10,-10,-575,4900000304,CC-P100,UAT.PLANNER1
UAT-0015,P100,0001,101,2026-03-03,15,862.5,4900000305,,UAT.STORES1
UAT-0015,P100,0001,201,2026-04-10,-10,-575,4900000306,CC-P100,UAT.PLANNER1
UAT-0015,P100,0001,201,2026-05-10,-10,-575,4900000307,CC-P100,UAT.PLANNER1
UAT-0015,P100,0001,101,2026-05-03,15,862.5,4900000308,,UAT.STORES1
UAT-0015,P100,0001,201,2026-06-10,-10,-575,4900000309,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,201,2025-01-10,-14,-854,4900000310,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,101,2025-01-03,19,1159,4900000311,,UAT.STORES1
UAT-0016,P100,0002,201,2025-02-10,-14,-854,4900000312,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,201,2025-03-10,-14,-854,4900000313,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,101,2025-03-03,19,1159,4900000314,,UAT.STORES1
UAT-0016,P100,0002,201,2025-04-10,-14,-854,4900000315,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,201,2025-05-10,-14,-854,4900000316,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,101,2025-05-03,19,1159,4900000317,,UAT.STORES1
UAT-0016,P100,0002,201,2025-06-10,-14,-854,4900000318,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,201,2025-07-10,-14,-854,4900000319,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,101,2025-07-03,19,1159,4900000320,,UAT.STORES1
UAT-0016,P100,0002,201,2025-08-10,-14,-854,4900000321,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,201,2025-09-10,-14,-854,4900000322,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,101,2025-09-03,19,1159,4900000323,,UAT.STORES1
UAT-0016,P100,0002,201,2025-10-10,-14,-854,4900000324,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,201,2025-11-10,-14,-854,4900000325,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,101,2025-11-03,19,1159,4900000326,,UAT.STORES1
UAT-0016,P100,0002,201,2025-12-10,-14,-854,4900000327,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,201,2026-01-10,-14,-854,4900000328,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,101,2026-01-03,19,1159,4900000329,,UAT.STORES1
UAT-0016,P100,0002,201,2026-02-10,-14,-854,4900000330,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,201,2026-03-10,-14,-854,4900000331,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,101,2026-03-03,19,1159,4900000332,,UAT.STORES1
UAT-0016,P100,0002,201,2026-04-10,-14,-854,4900000333,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,201,2026-05-10,-14,-854,4900000334,CC-P100,UAT.PLANNER1
UAT-0016,P100,0002,101,2026-05-03,19,1159,4900000335,,UAT.STORES1
UAT-0016,P100,0002,201,2026-06-10,-14,-854,4900000336,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,201,2025-01-10,-18,-1161,4900000337,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,101,2025-01-03,23,1483.5,4900000338,,UAT.STORES1
UAT-0017,P100,0003,201,2025-02-10,-18,-1161,4900000339,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,201,2025-03-10,-18,-1161,4900000340,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,101,2025-03-03,23,1483.5,4900000341,,UAT.STORES1
UAT-0017,P100,0003,201,2025-04-10,-18,-1161,4900000342,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,201,2025-05-10,-18,-1161,4900000343,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,101,2025-05-03,23,1483.5,4900000344,,UAT.STORES1
UAT-0017,P100,0003,201,2025-06-10,-18,-1161,4900000345,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,201,2025-07-10,-18,-1161,4900000346,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,101,2025-07-03,23,1483.5,4900000347,,UAT.STORES1
UAT-0017,P100,0003,201,2025-08-10,-18,-1161,4900000348,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,201,2025-09-10,-18,-1161,4900000349,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,101,2025-09-03,23,1483.5,4900000350,,UAT.STORES1
UAT-0017,P100,0003,201,2025-10-10,-18,-1161,4900000351,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,201,2025-11-10,-18,-1161,4900000352,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,101,2025-11-03,23,1483.5,4900000353,,UAT.STORES1
UAT-0017,P100,0003,201,2025-12-10,-18,-1161,4900000354,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,201,2026-01-10,-18,-1161,4900000355,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,101,2026-01-03,23,1483.5,4900000356,,UAT.STORES1
UAT-0017,P100,0003,201,2026-02-10,-18,-1161,4900000357,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,201,2026-03-10,-18,-1161,4900000358,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,101,2026-03-03,23,1483.5,4900000359,,UAT.STORES1
UAT-0017,P100,0003,201,2026-04-10,-18,-1161,4900000360,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,201,2026-05-10,-18,-1161,4900000361,CC-P100,UAT.PLANNER1
UAT-0017,P100,0003,101,2026-05-03,23,1483.5,4900000362,,UAT.STORES1
UAT-0017,P100,0003,201,2026-06-10,-18,-1161,4900000363,CC-P100,UAT.PLANNER1
UAT-0018,P100,0001,201,2025-01-10,-30,-2040,4900000364,CC-P100,UAT.PLANNER1
UAT-0018,P100,0001,101,2025-01-03,35,2380,4900000365,,UAT.STORES1
UAT-0018,P100,0001,201,2025-04-10,-30,-2040,4900000366,CC-P100,UAT.PLANNER1
UAT-0018,P100,0001,201,2025-07-10,-30,-2040,4900000367,CC-P100,UAT.PLANNER1
UAT-0018,P100,0001,101,2025-07-03,35,2380,4900000368,,UAT.STORES1
UAT-0018,P100,0001,201,2025-10-10,-30,-2040,4900000369,CC-P100,UAT.PLANNER1
UAT-0018,P100,0001,201,2026-01-10,-30,-2040,4900000370,CC-P100,UAT.PLANNER1
UAT-0018,P100,0001,101,2026-01-03,35,2380,4900000371,,UAT.STORES1
UAT-0018,P100,0001,201,2026-04-10,-30,-2040,4900000372,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,201,2025-01-10,-4,-286,4900000373,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,101,2025-01-03,9,643.5,4900000374,,UAT.STORES1
UAT-0019,P100,0002,201,2025-02-10,-4,-286,4900000375,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,201,2025-03-10,-6,-429,4900000376,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,101,2025-03-03,11,786.5,4900000377,,UAT.STORES1
UAT-0019,P100,0002,201,2025-04-10,-10,-715,4900000378,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,201,2025-05-10,-18,-1287,4900000379,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,101,2025-05-03,23,1644.5,4900000380,,UAT.STORES1
UAT-0019,P100,0002,201,2025-06-10,-30,-2145,4900000381,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,201,2025-07-10,-34,-2431,4900000382,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,101,2025-07-03,39,2788.5,4900000383,,UAT.STORES1
UAT-0019,P100,0002,201,2025-08-10,-30,-2145,4900000384,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,201,2025-09-10,-18,-1287,4900000385,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,101,2025-09-03,23,1644.5,4900000386,,UAT.STORES1
UAT-0019,P100,0002,201,2025-10-10,-10,-715,4900000387,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,201,2025-11-10,-6,-429,4900000388,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,101,2025-11-03,11,786.5,4900000389,,UAT.STORES1
UAT-0019,P100,0002,201,2025-12-10,-4,-286,4900000390,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,201,2026-01-10,-4,-286,4900000391,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,101,2026-01-03,9,643.5,4900000392,,UAT.STORES1
UAT-0019,P100,0002,201,2026-02-10,-4,-286,4900000393,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,201,2026-03-10,-6,-429,4900000394,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,101,2026-03-03,11,786.5,4900000395,,UAT.STORES1
UAT-0019,P100,0002,201,2026-04-10,-10,-715,4900000396,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,201,2026-05-10,-18,-1287,4900000397,CC-P100,UAT.PLANNER1
UAT-0019,P100,0002,101,2026-05-03,23,1644.5,4900000398,,UAT.STORES1
UAT-0019,P100,0002,201,2026-06-10,-30,-2145,4900000399,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,201,2025-01-10,-10,-750,4900000400,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,101,2025-01-03,15,1125,4900000401,,UAT.STORES1
UAT-0020,P100,0003,201,2025-02-10,-10,-750,4900000402,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,202,2025-02-18,5,375,4900000403,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,201,2025-03-10,-10,-750,4900000404,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,101,2025-03-03,15,1125,4900000405,,UAT.STORES1
UAT-0020,P100,0003,201,2025-04-10,-10,-750,4900000406,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,202,2025-04-18,5,375,4900000407,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,201,2025-05-10,-10,-750,4900000408,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,101,2025-05-03,15,1125,4900000409,,UAT.STORES1
UAT-0020,P100,0003,201,2025-06-10,-10,-750,4900000410,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,202,2025-06-18,5,375,4900000411,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,201,2025-07-10,-10,-750,4900000412,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,101,2025-07-03,15,1125,4900000413,,UAT.STORES1
UAT-0020,P100,0003,201,2025-08-10,-10,-750,4900000414,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,202,2025-08-18,5,375,4900000415,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,201,2025-09-10,-10,-750,4900000416,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,101,2025-09-03,15,1125,4900000417,,UAT.STORES1
UAT-0020,P100,0003,201,2025-10-10,-10,-750,4900000418,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,202,2025-10-18,5,375,4900000419,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,201,2025-11-10,-10,-750,4900000420,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,101,2025-11-03,15,1125,4900000421,,UAT.STORES1
UAT-0020,P100,0003,201,2025-12-10,-10,-750,4900000422,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,202,2025-12-18,5,375,4900000423,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,201,2026-01-10,-10,-750,4900000424,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,101,2026-01-03,15,1125,4900000425,,UAT.STORES1
UAT-0020,P100,0003,201,2026-02-10,-10,-750,4900000426,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,202,2026-02-18,5,375,4900000427,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,201,2026-03-10,-10,-750,4900000428,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,101,2026-03-03,15,1125,4900000429,,UAT.STORES1
UAT-0020,P100,0003,201,2026-04-10,-10,-750,4900000430,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,202,2026-04-18,5,375,4900000431,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,201,2026-05-10,-10,-750,4900000432,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,101,2026-05-03,15,1125,4900000433,,UAT.STORES1
UAT-0020,P100,0003,201,2026-06-10,-10,-750,4900000434,CC-P100,UAT.PLANNER1
UAT-0020,P100,0003,202,2026-06-18,5,375,4900000435,CC-P100,UAT.PLANNER1
UAT-0022,P200,0002,201,2025-01-10,-18,-1476,4900000436,CC-P200,UAT.PLANNER1
UAT-0022,P200,0002,101,2025-01-03,23,1886,4900000437,,UAT.STORES1
UAT-0022,P200,0002,201,2025-02-10,-18,-1476,4900000438,CC-P200,UAT.PLANNER1
UAT-0022,P200,0002,201,2025-03-10,-18,-1476,4900000439,CC-P200,UAT.PLANNER1
UAT-0022,P200,0002,101,2025-03-03,23,1886,4900000440,,UAT.STORES1
UAT-0022,P200,0002,201,2025-04-10,-18,-1476,4900000441,CC-P200,UAT.PLANNER1
UAT-0022,P200,0002,201,2025-05-10,-18,-1476,4900000442,CC-P200,UAT.PLANNER1
UAT-0022,P200,0002,101,2025-05-03,23,1886,4900000443,,UAT.STORES1
UAT-0022,P200,0002,201,2025-06-10,-18,-1476,4900000444,CC-P200,UAT.PLANNER1
UAT-0022,P200,0002,201,2025-07-10,-18,-1476,4900000445,CC-P200,UAT.PLANNER1
UAT-0022,P200,0002,101,2025-07-03,23,1886,4900000446,,UAT.STORES1
UAT-0022,P200,0002,201,2025-08-10,-18,-1476,4900000447,CC-P200,UAT.PLANNER1
UAT-0022,P200,0002,201,2025-09-10,-18,-1476,4900000448,CC-P200,UAT.PLANNER1
UAT-0022,P200,0002,101,2025-09-03,23,1886,4900000449,,UAT.STORES1
UAT-0022,P200,0002,201,2025-10-10,-18,-1476,4900000450,CC-P200,UAT.PLANNER1
UAT-0022,P200,0002,201,2025-11-10,-18,-1476,4900000451,CC-P200,UAT.PLANNER1
UAT-0022,P200,0002,101,2025-11-03,23,1886,4900000452,,UAT.STORES1
UAT-0022,P200,0002,201,2025-12-10,-18,-1476,4900000453,CC-P200,UAT.PLANNER1
UAT-0022,P200,0002,201,2026-01-10,-18,-1476,4900000454,CC-P200,UAT.PLANNER1
UAT-0022,P200,0002,101,2026-01-03,23,1886,4900000455,,UAT.STORES1
UAT-0022,P200,0002,201,2026-02-10,-18,-1476,4900000456,CC-P200,UAT.PLANNER1
UAT-0022,P200,0002,201,2026-03-10,-18,-1476,4900000457,CC-P200,UAT.PLANNER1
UAT-0022,P200,0002,101,2026-03-03,23,1886,4900000458,,UAT.STORES1
UAT-0022,P200,0002,201,2026-04-10,-18,-1476,4900000459,CC-P200,UAT.PLANNER1
UAT-0022,P200,0002,201,2026-05-10,-18,-1476,4900000460,CC-P200,UAT.PLANNER1
UAT-0022,P200,0002,101,2026-05-03,23,1886,4900000461,,UAT.STORES1
UAT-0022,P200,0002,201,2026-06-10,-18,-1476,4900000462,CC-P200,UAT.PLANNER1
UAT-0021,P100,0001,311,2025-01-20,-50,-500,4900000463,,UAT.STORES2
UAT-0021,P100,0001,311,2025-02-20,-50,-500,4900000464,,UAT.STORES2
UAT-0021,P100,0001,311,2025-03-20,-50,-500,4900000465,,UAT.STORES2
UAT-0021,P100,0001,311,2025-04-20,-50,-500,4900000466,,UAT.STORES2
UAT-0021,P100,0001,311,2025-05-20,-50,-500,4900000467,,UAT.STORES2
UAT-0021,P100,0001,311,2025-06-20,-50,-500,4900000468,,UAT.STORES2
UAT-0021,P100,0001,311,2025-07-20,-50,-500,4900000469,,UAT.STORES2
UAT-0021,P100,0001,311,2025-08-20,-50,-500,4900000470,,UAT.STORES2
UAT-0021,P100,0001,311,2025-09-20,-50,-500,4900000471,,UAT.STORES2
UAT-0021,P100,0001,311,2025-10-20,-50,-500,4900000472,,UAT.STORES2
UAT-0021,P100,0001,311,2025-11-20,-50,-500,4900000473,,UAT.STORES2
UAT-0021,P100,0001,311,2025-12-20,-50,-500,4900000474,,UAT.STORES2
UAT-0021,P100,0001,311,2026-01-20,-50,-500,4900000475,,UAT.STORES2
UAT-0021,P100,0001,311,2026-02-20,-50,-500,4900000476,,UAT.STORES2
UAT-0021,P100,0001,311,2026-03-20,-50,-500,4900000477,,UAT.STORES2
UAT-0021,P100,0001,311,2026-04-20,-50,-500,4900000478,,UAT.STORES2
UAT-0021,P100,0001,311,2026-05-20,-50,-500,4900000479,,UAT.STORES2
UAT-0021,P100,0001,311,2026-06-20,-50,-500,4900000480,,UAT.STORES2
UAT-0001,P100,0002,201,2026-05-10,-14,-119,4900000001,CC-P100,UAT.PLANNER1
